gsis_id,full_name,position,age,games_observed,injuries,games_missed,raw_rate,prior_rate,shrunk_rate,expected_missed_per_17,most_common_injury
00-0033885,David Njoku,TE,30.1,36,4,10,0.278,0.124,0.228,3.9,Knee
00-0039066,Michael Mayer,TE,25.2,36,3,9,0.25,0.188,0.23,3.9,Ankle
00-0039065,Sam LaPorta,TE,25.6,36,2,9,0.25,0.188,0.23,3.9,Shoulder
00-0038996,Tucker Kraft,TE,25.8,36,1,9,0.25,0.188,0.23,3.9,
00-0037740,Garrett Wilson,WR,26.1,36,2,9,0.25,0.16,0.221,3.8,Knee
00-0040244,Moliki Matavao,TE,23.5,8,1,2,0.25,0.211,0.223,3.8,
00-0041577,Connor Hulstein,TE,,1,1,1,1.0,0.175,0.221,3.8,
00-0034975,Justice Hill,RB,28.8,36,3,9,0.25,0.144,0.216,3.7,Neck
00-0040352,Coleman Owen,WR,25.4,3,1,1,0.333,0.194,0.215,3.7,
00-0041374,Sincere Brown,WR,,1,1,1,1.0,0.171,0.218,3.7,
00-0035228,Kyler Murray,QB,29.1,36,2,10,0.278,0.087,0.217,3.7,Foot
00-0031588,Stefon Diggs,WR,32.8,36,1,9,0.25,0.156,0.22,3.7,Not injury related - resting player
00-0041004,Chase Roberts,WR,,1,1,1,1.0,0.171,0.218,3.7,
00-0039910,Jayden Daniels,QB,25.7,36,4,10,0.278,0.088,0.217,3.7,Elbow
00-0032950,Carson Wentz,QB,33.7,36,1,10,0.278,0.086,0.216,3.7,Shoulder
00-0040937,Dominic Richardson,RB,,1,1,1,1.0,0.166,0.213,3.6,
00-0040964,EJ Smith,RB,,1,1,1,1.0,0.166,0.213,3.6,
00-0039299,George Holani,RB,26.7,24,1,6,0.25,0.159,0.212,3.6,Hamstring
00-0038783,Nate Adkins,TE,27.1,36,3,8,0.222,0.182,0.209,3.6,Knee
00-0039355,Luke McCaffrey,WR,25.4,36,1,8,0.222,0.194,0.213,3.6,
00-0040736,Mason Taylor,TE,22.3,19,1,4,0.211,0.211,0.211,3.6,Neck
00-0040739,Elijah Arroyo,TE,23.4,19,1,4,0.211,0.211,0.211,3.6,Knee
00-0034351,Dallas Goedert,TE,31.7,36,4,9,0.25,0.124,0.209,3.6,Knee
00-0039373,Audric Estimé,RB,23.0,27,2,6,0.222,0.181,0.206,3.5,Thigh
00-0039491,Jalen Coker,WR,24.8,33,2,7,0.212,0.194,0.206,3.5,Quadricep
00-0033906,Alvin Kamara,RB,31.1,36,2,8,0.222,0.169,0.205,3.5,Groin
00-0039032,Tyjae Spears,RB,25.2,36,3,8,0.222,0.163,0.203,3.5,Concussion
00-0040870,Ja'Kobi Lane,WR,22.1,2,1,1,0.5,0.172,0.207,3.5,
00-0041511,Omar Cooper Jr.,WR,22.7,2,1,1,0.5,0.172,0.207,3.5,Ankle
00-0041035,De'Zhaun Stribling,WR,23.7,2,1,1,0.5,0.172,0.207,3.5,Ankle
00-0039796,Rasheen Ali,RB,25.5,36,1,8,0.222,0.163,0.203,3.5,Neck
00-0035021,Ashton Dulin,WR,29.3,36,4,8,0.222,0.171,0.206,3.5,Ankle
00-0038705,Emari Demercado,RB,27.6,36,3,8,0.222,0.159,0.202,3.4,Ankle
00-0033077,Dak Prescott,QB,33.1,36,1,9,0.25,0.086,0.198,3.4,Hamstring
00-0040172,Jordan Watkins,WR,24.5,19,1,4,0.211,0.194,0.203,3.4,Calf
00-0040024,Darius Cooper,WR,24.8,19,1,4,0.211,0.194,0.203,3.4,
00-0036442,Joe Burrow,QB,29.7,36,1,9,0.25,0.087,0.198,3.4,Toe
00-0039917,Michael Penix Jr.,QB,26.3,36,1,9,0.25,0.096,0.201,3.4,Knee
00-0037093,Dareke Young,WR,27.2,36,2,8,0.222,0.16,0.202,3.4,Quadricep
00-0040202,Devin Neal,RB,23.1,18,1,4,0.222,0.181,0.202,3.4,Hamstring
00-0037329,Brittain Brown,RB,28.9,5,1,2,0.4,0.144,0.202,3.4,
00-0041414,Matthew Caldwell,QB,23.3,2,1,2,1.0,0.101,0.195,3.3,
00-0039847,Theo Johnson,TE,25.5,36,2,7,0.194,0.188,0.192,3.3,Illness
00-0041472,Marlin Klein,TE,24.0,2,0,0,0.0,0.211,0.189,3.2,
00-0040887,Josh Cuevas,TE,23.9,2,0,0,0.0,0.211,0.189,3.2,
00-0041077,Justin Joly,TE,22.1,2,0,0,0.0,0.211,0.189,3.2,
00-0041395,Eli Raridon,TE,22.6,2,0,0,0.0,0.211,0.189,3.2,
00-0041558,Sam Roush,TE,23.0,2,0,0,0.0,0.211,0.189,3.2,
00-0036862,Ben Skowronek,WR,29.2,36,2,7,0.194,0.171,0.187,3.2,Hip
00-0041524,Will Kacmarek,TE,23.6,2,0,0,0.0,0.211,0.189,3.2,
00-0037563,Malik Davis,RB,27.8,13,1,3,0.231,0.159,0.19,3.2,Calf
00-0041094,Bauer Sharp,TE,23.3,2,0,0,0.0,0.211,0.189,3.2,
00-0041032,Kenyon Sadiq,TE,21.5,2,0,0,0.0,0.211,0.189,3.2,
00-0041314,Tanner Arkin,TE,23.2,2,0,0,0.0,0.211,0.189,3.2,
00-0041116,Jack Endries,TE,22.4,2,0,0,0.0,0.211,0.189,3.2,
00-0041084,Tanner Koziol,TE,22.6,2,0,0,0.0,0.211,0.189,3.2,
00-0041131,Carsen Ryan,TE,23.0,2,0,0,0.0,0.211,0.189,3.2,
00-0037031,Nikola Kalinic,TE,29.6,6,1,2,0.333,0.14,0.191,3.2,
00-0041510,Max Klare,TE,23.2,2,0,0,0.0,0.211,0.189,3.2,
00-0039062,Jonathan Mingo,WR,25.4,37,1,7,0.189,0.194,0.191,3.2,Knee
00-0039361,Bucky Irving,RB,24.0,36,1,7,0.194,0.163,0.184,3.1,Foot
00-0032464,Kalif Raymond,WR,32.1,36,2,7,0.194,0.156,0.182,3.1,Foot
00-0037525,Jordan Mason,RB,27.3,36,3,7,0.194,0.159,0.183,3.1,Ankle
00-0035659,Terry McLaurin,WR,31.0,36,2,7,0.194,0.156,0.182,3.1,Quadricep
00-0038735,Princeton Fant,TE,27.5,12,1,2,0.167,0.182,0.176,3.0,
00-0041067,Bryce Lance,WR,24.0,2,0,0,0.0,0.194,0.174,3.0,
00-0035289,Gardner Minshew,QB,30.3,36,2,8,0.222,0.086,0.179,3.0,Collarbone
00-0040621,Montorie Foster Jr,WR,25.1,2,0,0,0.0,0.194,0.174,3.0,
00-0041443,Skyler Bell,WR,24.2,2,0,0,0.0,0.194,0.174,3.0,
00-0041069,Colbie Young,WR,24.1,2,0,0,0.0,0.194,0.174,3.0,
00-0038573,Derius Davis,WR,26.0,36,2,6,0.167,0.194,0.175,3.0,Ankle
00-0041399,CJ Daniels,WR,24.7,2,0,0,0.0,0.194,0.174,3.0,
00-0041397,Kaden Wetjen,WR,24.5,2,0,0,0.0,0.194,0.174,3.0,
00-0039075,Puka Nacua,WR,25.3,36,2,6,0.167,0.194,0.175,3.0,Ankle
00-0036754,Brock Wright,TE,27.8,36,1,6,0.167,0.182,0.172,2.9,Neck
00-0041133,Dallen Bentley,TE,25.7,2,0,0,0.0,0.188,0.168,2.9,
00-0041503,Nate Boerkircher,TE,25.0,2,0,0,0.0,0.188,0.168,2.9,
00-0040879,Matthew Hibner,TE,24.5,2,0,0,0.0,0.188,0.168,2.9,
00-0040509,Ben Yurosek,TE,24.5,19,2,3,0.158,0.188,0.172,2.9,Knee
00-0040162,Dylan Sampson,RB,22.0,19,2,3,0.158,0.181,0.169,2.9,Calf
00-0033881,Evan Engram,TE,32.0,36,3,7,0.194,0.124,0.172,2.9,Hamstring
00-0040390,Jackson Meeks,TE,23.4,4,0,0,0.0,0.211,0.171,2.9,
00-0041579,Seydou Traore,TE,24.1,2,0,0,0.0,0.188,0.168,2.9,
00-0040598,Mark Redman,TE,24.6,2,0,0,0.0,0.188,0.168,2.9,
00-0041398,Riley Nowakowski,TE,24.2,2,0,0,0.0,0.188,0.168,2.9,
00-0038124,Christian Watson,WR,27.3,36,1,6,0.167,0.16,0.165,2.8,Knee
00-0037834,Brock Purdy,QB,26.7,36,4,7,0.194,0.096,0.163,2.8,Shoulder
00-0039244,Chris Collier,RB,26.4,12,1,2,0.167,0.159,0.162,2.8,
00-0036554,Nico Collins,WR,27.5,36,3,6,0.167,0.16,0.165,2.8,Concussion
00-0040581,Dont'e Thornton Jr.,WR,23.8,19,2,3,0.158,0.172,0.165,2.8,Concussion
00-0033376,Patrick Ricard,RB,32.3,36,1,6,0.167,0.169,0.167,2.8,Calf
00-0036849,Tutu Atwell,WR,26.9,36,1,6,0.167,0.16,0.165,2.8,Hamstring
00-0040488,Carter Runyon,TE,25.1,16,1,2,0.125,0.188,0.158,2.7,
00-0039849,Marvin Harrison Jr.,WR,24.1,36,3,5,0.139,0.194,0.157,2.7,Foot
00-0035589,Gary Jennings,WR,29.5,1,0,0,0.0,0.171,0.161,2.7,
00-0038488,Brady Russell,RB,28.0,36,2,6,0.167,0.144,0.159,2.7,Foot
00-0041027,Jeremiyah Love,RB,21.3,2,0,0,0.0,0.181,0.162,2.7,
00-0041104,Demond Claiborne,RB,22.9,2,0,0,0.0,0.181,0.162,2.7,
00-0041013,Emmett Johnson,RB,22.9,2,0,0,0.0,0.181,0.162,2.7,
00-0040878,Mike Washington Jr.,RB,23.2,2,0,0,0.0,0.181,0.162,2.7,
00-0041512,Jadarian Price,RB,22.9,2,0,0,0.0,0.181,0.162,2.7,
00-0041490,Eli Heidenreich,RB,23.1,2,0,0,0.0,0.181,0.162,2.7,
00-0041496,Jonah Coleman,RB,23.0,2,0,0,0.0,0.181,0.162,2.7,
00-0034981,Foster Moreau,TE,29.3,36,2,6,0.167,0.14,0.158,2.7,Ankle
00-0040886,Nicholas Singleton,RB,22.7,2,0,0,0.0,0.181,0.162,2.7,
00-0037157,Bam Knight,RB,25.4,19,1,3,0.158,0.163,0.16,2.7,
00-0038994,Jordan Addison,WR,24.6,36,2,5,0.139,0.194,0.157,2.7,Ankle
00-0041326,CJ Donaldson,RB,22.1,2,0,0,0.0,0.181,0.162,2.7,
00-0041096,Kaytron Allen,RB,23.6,2,0,0,0.0,0.181,0.162,2.7,
00-0041081,Max Bredeson,RB,23.9,2,0,0,0.0,0.181,0.162,2.7,
00-0041438,Carnell Tate,WR,21.6,2,0,0,0.0,0.172,0.154,2.6,
00-0040867,Makai Lemon,WR,22.2,2,0,0,0.0,0.172,0.154,2.6,
00-0040930,Camden Brown,WR,22.3,2,0,0,0.0,0.172,0.154,2.6,
00-0040948,J. Michael Sturdivant,WR,24.0,2,0,0,0.0,0.172,0.154,2.6,
00-0041070,Reggie Virgil,WR,22.3,2,0,0,0.0,0.172,0.154,2.6,
00-0041099,Barion Brown,WR,22.7,2,0,0,0.0,0.172,0.154,2.6,
00-0041132,Deion Burks,WR,23.6,2,0,0,0.0,0.172,0.154,2.6,
00-0041042,Malachi Fields,WR,23.0,2,0,0,0.0,0.172,0.154,2.6,
00-0041523,Caleb Douglas,WR,23.0,2,0,0,0.0,0.172,0.154,2.6,
00-0040894,Malik Benson,WR,23.9,2,0,0,0.0,0.172,0.154,2.6,
00-0040890,Cyrus Allen,WR,23.6,2,0,0,0.0,0.172,0.154,2.6,
00-0038720,Julian Hill,TE,26.1,36,3,5,0.139,0.182,0.153,2.6,Ankle
00-0038935,Brenton Strange,TE,25.7,36,1,5,0.139,0.188,0.155,2.6,Hip
00-0041550,Brenen Thompson,WR,23.1,2,0,0,0.0,0.172,0.154,2.6,
00-0033576,Eric Saubert,TE,32.3,36,1,6,0.167,0.124,0.153,2.6,Calf
00-0041547,KC Concepcion,WR,21.9,2,0,0,0.0,0.172,0.154,2.6,
00-0040876,Elijah Sarratt,WR,23.3,2,0,0,0.0,0.172,0.154,2.6,
00-0041529,Kevin Coleman Jr.,WR,23.0,2,0,0,0.0,0.172,0.154,2.6,
00-0041051,Zavion Thomas,WR,22.5,2,0,0,0.0,0.172,0.154,2.6,
00-0041040,Antonio Williams,WR,22.1,2,0,0,0.0,0.172,0.154,2.6,
00-0041037,Denzel Boston,WR,22.7,2,0,0,0.0,0.172,0.154,2.6,
00-0041048,Ted Hurst III,WR,22.2,2,0,0,0.0,0.172,0.154,2.6,
00-0041489,Germie Bernard,WR,22.7,2,0,0,0.0,0.172,0.154,2.6,
00-0041106,C.J. Williams,WR,23.9,2,0,0,0.0,0.172,0.154,2.6,
00-0041044,Zachariah Branch,WR,22.4,2,0,0,0.0,0.172,0.154,2.6,
00-0041100,Josh Cameron,WR,23.5,2,0,0,0.0,0.172,0.154,2.6,
00-0041525,Chris Bell,WR,22.2,2,0,0,0.0,0.172,0.154,2.6,
00-0033280,Christian McCaffrey,RB,30.2,36,1,5,0.139,0.169,0.149,2.5,Not injury related - resting player
00-0041052,Kaelon Black,RB,24.9,2,0,0,0.0,0.163,0.146,2.5,
00-0041436,DJ Herman,RB,24.5,2,0,0,0.0,0.163,0.146,2.5,
00-0040164,Jaylin Lane,WR,24.3,19,1,2,0.105,0.194,0.147,2.5,Ankle
00-0036358,CeeDee Lamb,WR,27.4,36,2,5,0.139,0.16,0.146,2.5,Shoulder
00-0035500,Greg Dortch,WR,28.3,36,1,5,0.139,0.171,0.149,2.5,Chest
00-0037837,Calvin Austin III,WR,27.4,36,3,5,0.139,0.16,0.146,2.5,Shoulder
00-0040784,Quinshon Judkins,RB,22.8,18,1,2,0.111,0.181,0.145,2.5,
00-0039364,Sione Vaki,RB,25.1,36,1,5,0.139,0.163,0.147,2.5,Hamstring
00-0039518,Treyton Welch,TE,25.6,5,0,0,0.0,0.188,0.146,2.5,
00-0041125,Seth McGowan,RB,24.9,2,0,0,0.0,0.163,0.146,2.5,
00-0040277,Jahdae Walker,WR,24.2,19,1,2,0.105,0.194,0.147,2.5,Concussion
00-0038752,Jake Bobo,WR,28.1,36,3,5,0.139,0.171,0.149,2.5,Concussion
00-0033293,Aaron Jones,RB,31.7,36,2,5,0.139,0.169,0.149,2.5,Hip
00-0038519,Nikko Remigio,WR,26.8,24,2,3,0.125,0.16,0.14,2.4,Shoulder
00-0040644,Trevor Etienne,RB,22.1,19,1,2,0.105,0.181,0.141,2.4,
00-0032268,Marcus Mariota,QB,32.8,36,2,6,0.167,0.086,0.141,2.4,Chest
00-0038728,Jared Wayne,WR,25.9,6,0,0,0.0,0.194,0.143,2.4,
00-0040785,Dohnte Meyers,WR,26.2,2,0,0,0.0,0.16,0.143,2.4,
00-0039356,Ja'Tavion Sanders,TE,23.4,36,3,4,0.111,0.211,0.143,2.4,Neck
00-0036945,Justin Fields,QB,27.5,36,3,6,0.167,0.096,0.144,2.4,Abdomen
00-0036971,Trevor Lawrence,QB,26.9,36,2,6,0.167,0.096,0.144,2.4,Left Shoulder
00-0039471,Frank Gore Jr.,RB,24.5,3,0,0,0.0,0.163,0.139,2.4,
00-0039338,Brock Bowers,TE,23.7,36,2,4,0.111,0.211,0.143,2.4,Knee
00-0040130,Jayden Higgins,WR,23.7,19,1,2,0.105,0.172,0.137,2.3,
00-0037086,Grant Calcaterra,TE,27.7,36,2,4,0.111,0.182,0.134,2.3,Oblique
00-0040363,Keleki Latu,TE,24.1,7,0,0,0.0,0.188,0.133,2.3,
00-0040646,Jalen Royals,WR,23.5,19,1,2,0.105,0.172,0.137,2.3,Knee
00-0040134,Pat Bryant,WR,23.7,19,2,2,0.105,0.172,0.137,2.3,Hamstring
00-0033288,George Kittle,TE,32.9,36,1,5,0.139,0.124,0.134,2.3,
00-0040735,Luther Burden III,WR,22.7,19,2,2,0.105,0.172,0.137,2.3,Concussion
00-0037238,Drake London,WR,25.1,36,1,4,0.111,0.194,0.138,2.3,Knee
00-0037838,Isaiah Likely,TE,26.4,36,2,4,0.111,0.182,0.134,2.3,Hamstring
00-0035993,Tyler Huntley,QB,28.6,30,1,5,0.167,0.087,0.138,2.3,Right Shoulder
00-0038933,Dalton Kincaid,TE,26.9,36,2,4,0.111,0.182,0.134,2.3,Hamstring
00-0038046,Charlie Kolar,TE,27.6,36,1,4,0.111,0.182,0.134,2.3,Forearm
00-0036331,Devin Duvernay,WR,29.0,36,1,4,0.111,0.171,0.13,2.2,
00-0040431,Dalen Cambre,WR,25.4,8,0,0,0.0,0.194,0.132,2.2,
00-0036259,Jauan Jennings,WR,29.1,36,3,4,0.111,0.171,0.13,2.2,Ankle
00-0040663,Harold Fannin Jr.,TE,22.1,19,1,1,0.053,0.211,0.127,2.2,Groin
00-0039424,Devaughn Vele,WR,28.7,36,2,4,0.111,0.171,0.13,2.2,Ribs
00-0038590,Justin Shorter,WR,26.4,20,1,2,0.1,0.16,0.128,2.2,
00-0037380,Kaden Davis,WR,27.9,4,0,0,0.0,0.16,0.13,2.2,
00-0040584,Gunnar Helm,TE,24.0,19,1,1,0.053,0.211,0.127,2.2,Toe
00-0040704,Dillon Gabriel,QB,25.7,19,2,3,0.158,0.088,0.125,2.1,Concussion
00-0036212,Tua Tagovailoa,QB,28.5,36,2,5,0.139,0.087,0.122,2.1,Oblique
00-0038679,Tyrell Shavers,WR,27.0,22,1,2,0.091,0.16,0.121,2.1,
00-0035359,David Sills,WR,31.3,20,1,2,0.1,0.156,0.126,2.1,
00-0038104,Tyquan Thornton,WR,26.1,29,1,3,0.103,0.16,0.124,2.1,Concussion
00-0036555,Chuba Hubbard,RB,27.2,36,2,4,0.111,0.159,0.126,2.1,Calf
00-0037524,Tay Martin,WR,28.7,6,0,0,0.0,0.171,0.126,2.1,
00-0034854,KhaDarel Hodge,WR,32.7,36,2,4,0.111,0.156,0.126,2.1,Groin
00-0035249,Josh Oliver,TE,29.4,36,2,4,0.111,0.14,0.121,2.0,Foot
00-0035710,Daniel Jones,QB,29.3,29,1,4,0.138,0.087,0.119,2.0,Fibula
00-0035644,Noah Fant,TE,28.8,36,3,4,0.111,0.14,0.121,2.0,Concussion
00-0040184,KeAndre Lambert-Smith,WR,24.9,19,1,1,0.053,0.194,0.119,2.0,
00-0034829,Mike Gesicki,TE,30.9,36,1,4,0.111,0.124,0.115,2.0,Pectoral
00-0038394,Will Mallory,TE,27.2,36,1,3,0.083,0.182,0.115,2.0,Lung
00-0038997,Josh Downs,WR,25.1,36,3,3,0.083,0.194,0.119,2.0,Shoulder
00-0039919,Rome Odunze,WR,24.2,36,1,3,0.083,0.194,0.119,2.0,Foot
00-0039623,Mason Tipton,WR,25.9,36,1,3,0.083,0.194,0.119,2.0,Groin
00-0038976,Marvin Mims Jr.,WR,24.5,36,2,3,0.083,0.194,0.119,2.0,Concussion
00-0036984,Trey Sermon,RB,27.6,23,1,2,0.087,0.159,0.118,2.0,
00-0035345,Chris Myarick,TE,30.9,1,0,0,0.0,0.124,0.117,2.0,
00-0040506,Myles Price,WR,24.7,19,1,1,0.053,0.194,0.119,2.0,Ankle
00-0035676,A.J. Brown,WR,29.2,36,3,3,0.083,0.171,0.111,1.9,Hamstring
00-0037324,Chris Oladokun,QB,29.0,5,1,1,0.2,0.087,0.113,1.9,
00-0040782,Isaiah Bond,WR,22.5,19,1,1,0.053,0.172,0.109,1.9,Foot
00-0035640,DK Metcalf,WR,28.7,36,2,3,0.083,0.171,0.111,1.9,Knee
00-0040556,Corey Kiner,RB,24.6,8,0,0,0.0,0.163,0.111,1.9,
00-0039746,Will Shipley,RB,24.0,36,2,3,0.083,0.163,0.109,1.9,Oblique
00-0037120,Tyler Goodson,RB,25.8,35,1,3,0.086,0.163,0.111,1.9,Groin
00-0039534,Carter Bradley,QB,26.5,6,1,1,0.167,0.096,0.114,1.9,
00-0034407,Ray-Ray McCloud,WR,29.9,26,2,2,0.077,0.171,0.114,1.9,Not injury related - other
00-0040734,TreVeyon Henderson,RB,23.9,19,1,1,0.053,0.181,0.113,1.9,Ankle
00-0040170,Elic Ayomanor,WR,23.2,19,1,1,0.053,0.172,0.109,1.9,Hamstring
00-0033908,Cooper Kupp,WR,33.2,36,1,3,0.083,0.156,0.107,1.8,Ankle
00-0036463,Chris Blair,WR,28.9,11,0,0,0.0,0.171,0.104,1.8,
00-0032775,Demarcus Robinson,WR,31.9,36,1,3,0.083,0.156,0.107,1.8,
00-0036988,Josh Palmer,WR,26.9,36,2,3,0.083,0.16,0.108,1.8,Knee
00-0040534,Ke'Shawn Williams,WR,24.7,14,0,0,0.0,0.194,0.106,1.8,
00-0031381,Davante Adams,WR,33.7,36,1,3,0.083,0.156,0.107,1.8,Hamstring
00-0038498,E.J. Jenkins,TE,27.8,12,0,0,0.0,0.182,0.107,1.8,
00-0037664,Alec Pierce,WR,26.3,36,2,3,0.083,0.16,0.108,1.8,Concussion
00-0036223,Jonathan Taylor,RB,27.6,36,1,3,0.083,0.159,0.108,1.8,Ankle
00-0040691,Jaxson Dart,QB,23.3,19,1,2,0.105,0.101,0.103,1.8,Concussion
00-0035719,Deebo Samuel Sr.,WR,30.6,36,3,3,0.083,0.156,0.107,1.8,Ribs
00-0039363,Isaac Guerendo,RB,26.2,36,2,3,0.083,0.159,0.108,1.8,Foot
00-0037816,Romeo Doubs,WR,26.4,36,2,3,0.083,0.16,0.108,1.8,Concussion
00-0040719,Bhayshul Tuten,RB,24.5,19,1,1,0.053,0.163,0.105,1.8,Finger
00-0033375,Tim Patrick,WR,32.8,35,2,3,0.086,0.156,0.109,1.8,Groin
00-0040208,Tahj Brooks,RB,24.3,19,1,1,0.053,0.163,0.105,1.8,Concussion
00-0037240,Jameson Williams,WR,25.4,36,1,2,0.056,0.194,0.1,1.7,
00-0039074,Davis Allen,TE,25.6,36,1,2,0.056,0.188,0.098,1.7,Back
00-0035685,David Montgomery,RB,29.2,36,1,3,0.083,0.144,0.103,1.7,Knee
00-0039342,Xavier Legette,WR,25.6,36,2,2,0.056,0.194,0.1,1.7,Hamstring
00-0037247,George Pickens,WR,25.5,36,1,2,0.056,0.194,0.1,1.7,Hamstring
00-0037004,Hunter Long,TE,28.0,36,1,3,0.083,0.14,0.102,1.7,Hip
00-0040737,Terrance Ferguson,TE,23.5,19,0,0,0.0,0.211,0.1,1.7,
00-0038608,Kayshon Boutte,WR,24.3,36,2,2,0.056,0.194,0.1,1.7,Concussion
00-0040187,Mitchell Evans,TE,23.3,19,0,0,0.0,0.211,0.1,1.7,
00-0039880,Malik Washington,WR,25.9,36,1,2,0.056,0.194,0.1,1.7,Quadricep
00-0034613,Tanner Hudson,TE,31.8,35,3,3,0.086,0.124,0.098,1.7,Knee
00-0036590,Quintin Morris,TE,27.6,35,1,2,0.057,0.182,0.098,1.7,Groin
00-0040189,Oronde Gadsden II,TE,23.2,19,0,0,0.0,0.211,0.1,1.7,
00-0038896,Jacob Saylors,RB,26.5,19,1,1,0.053,0.159,0.103,1.7,Back
00-0036875,Rhamondre Stevenson,RB,28.5,36,2,3,0.083,0.144,0.103,1.7,Toe
00-0040126,Colston Loveland,TE,22.4,19,0,0,0.0,0.211,0.1,1.7,
00-0038393,Dontayvion Wicks,WR,25.2,36,1,2,0.056,0.194,0.1,1.7,Calf
00-0039901,Keon Coleman,WR,23.3,36,1,2,0.056,0.172,0.093,1.6,Wrist
00-0040075,LaJohntay Wester,WR,24.4,19,0,0,0.0,0.194,0.092,1.6,
00-0035891,Cody White,WR,27.8,23,1,1,0.043,0.16,0.093,1.6,Abdomen
00-0040669,Isaac TeSlaa,WR,24.5,19,0,0,0.0,0.194,0.092,1.6,
00-0040705,Chimere Dike,WR,24.7,19,0,0,0.0,0.194,0.092,1.6,
00-0037005,Tommy Tremble,TE,26.2,36,2,2,0.056,0.182,0.096,1.6,Hamstring
00-0040582,Arian Smith,WR,24.9,19,0,0,0.0,0.194,0.092,1.6,
00-0040237,Tez Johnson,WR,24.3,19,0,0,0.0,0.194,0.092,1.6,
00-0040211,Graham Mertz,QB,25.7,19,1,2,0.105,0.088,0.097,1.6,
00-0039893,Brian Thomas Jr.,WR,23.9,36,1,2,0.056,0.172,0.093,1.6,Ankle
00-0040563,Efton Chism III,WR,24.8,19,0,0,0.0,0.194,0.092,1.6,
00-0040727,Tre Harris,WR,24.5,19,0,0,0.0,0.194,0.092,1.6,
00-0038041,Jake Ferguson,TE,27.6,36,1,2,0.056,0.182,0.096,1.6,Concussion
00-0033955,Jeremy McNichols,RB,30.7,36,1,2,0.056,0.169,0.092,1.6,
00-0040122,Ashton Jeanty,RB,22.7,19,0,0,0.0,0.181,0.085,1.5,
00-0037228,Jaylen Warren,RB,27.8,36,1,2,0.056,0.159,0.089,1.5,Knee
00-0040058,Nick Kallerup,TE,25.4,19,0,0,0.0,0.188,0.089,1.5,
00-0040179,DJ Giddens,RB,23.0,19,0,0,0.0,0.181,0.085,1.5,
00-0039451,Isaiah Williams,WR,25.6,32,1,1,0.031,0.194,0.088,1.5,Abdomen
00-0038614,Scott Matlock,RB,26.2,36,1,2,0.056,0.159,0.089,1.5,
00-0040238,LeQuint Allen Jr.,RB,22.1,19,0,0,0.0,0.181,0.085,1.5,
00-0040198,Ollie Gordon II,RB,22.6,19,0,0,0.0,0.181,0.085,1.5,
00-0038134,Kenneth Walker III,RB,25.9,36,1,2,0.056,0.163,0.09,1.5,Ankle
00-0040014,Kyle McCord,QB,24.0,2,0,0,0.0,0.101,0.09,1.5,
00-0038640,Jalen Brooks,WR,26.3,25,1,1,0.04,0.16,0.089,1.5,Knee
00-0040078,Brashard Smith,RB,23.4,19,0,0,0.0,0.181,0.085,1.5,
00-0037801,KaVontae Turpin,WR,30.1,36,1,2,0.056,0.156,0.088,1.5,Foot
00-0038589,Josh Whyle,TE,27.0,28,1,1,0.036,0.182,0.091,1.5,Concussion
00-0041194,Jack Strand,QB,22.2,2,0,0,0.0,0.101,0.09,1.5,
00-0041056,Cade Klubnik,QB,22.9,2,0,0,0.0,0.101,0.09,1.5,
00-0033555,Mack Hollins,WR,33.0,36,1,2,0.056,0.156,0.088,1.5,Abdomen
00-0040194,Jackson Hawes,TE,25.7,19,0,0,0.0,0.188,0.089,1.5,
00-0041092,Taylen Green,QB,23.9,2,0,0,0.0,0.101,0.09,1.5,
00-0035544,Tom Kennedy,WR,30.1,13,0,0,0.0,0.156,0.089,1.5,
00-0040128,Tyler Warren,TE,24.3,19,0,0,0.0,0.188,0.089,1.5,
00-0040891,Cole Payton,QB,23.8,2,0,0,0.0,0.101,0.09,1.5,
00-0041562,Fernando Mendoza,QB,22.9,2,0,0,0.0,0.101,0.09,1.5,
00-0038389,Israel Abanikanda,RB,23.9,18,0,0,0.0,0.181,0.088,1.5,
00-0041565,Drew Allar,QB,22.5,2,0,0,0.0,0.101,0.09,1.5,
00-0036550,Rashod Bateman,WR,26.8,36,1,2,0.056,0.16,0.089,1.5,Ankle
00-0041117,Athan Kaliakmanis,QB,23.0,2,0,0,0.0,0.101,0.09,1.5,
00-0039165,Zach Charbonnet,RB,25.6,36,1,2,0.056,0.163,0.09,1.5,
00-0036912,DeVonta Smith,WR,27.8,36,2,2,0.056,0.16,0.089,1.5,Hamstring
00-0040142,Kaleb Johnson,RB,23.0,19,0,0,0.0,0.181,0.085,1.5,
00-0032951,Laquon Treadwell,WR,31.2,14,0,0,0.0,0.156,0.086,1.5,
00-0038564,Cameron Latu,TE,26.5,18,0,0,0.0,0.182,0.088,1.5,
00-0041251,Jalon Daniels,QB,23.8,2,0,0,0.0,0.101,0.09,1.5,
00-0036410,Tee Higgins,WR,27.6,36,2,2,0.056,0.16,0.089,1.5,Concussion
00-0040177,Jordan James,RB,22.4,19,0,0,0.0,0.181,0.085,1.5,
00-0041568,Ty Simpson,QB,23.7,2,0,0,0.0,0.101,0.09,1.5,
00-0040129,Emeka Egbuka,WR,23.9,19,0,0,0.0,0.172,0.081,1.4,
00-0040218,Jimmy Horn Jr.,WR,24.0,18,0,0,0.0,0.172,0.084,1.4,
