gsis_id,full_name,position,age,games_observed,injuries,games_missed,raw_rate,prior_rate,shrunk_rate,expected_missed_per_17,most_common_injury
00-0036970,Kyle Pitts,TE,25.9,36,0,0,0.0,0.188,0.06,1.0,
00-0036244,Colby Parkinson,TE,27.6,36,0,0,0.0,0.182,0.058,1.0,
00-0039530,Brevyn Spann-Ford,TE,26.7,36,0,0,0.0,0.182,0.058,1.0,
00-0039648,David Martin-Robinson,TE,26.7,36,0,0,0.0,0.182,0.058,1.0,
00-0034270,Tyler Conklin,TE,31.1,36,1,1,0.028,0.124,0.059,1.0,Not injury related - personal matter
00-0036425,DeeJay Dallas,RB,28.0,27,0,0,0.0,0.159,0.061,1.0,
00-0039041,Elijah Higgins,TE,25.8,36,0,0,0.0,0.188,0.06,1.0,
00-0038547,Luke Schoonmaker,TE,27.9,36,0,0,0.0,0.182,0.058,1.0,
00-0039793,AJ Barner,TE,24.3,36,0,0,0.0,0.188,0.06,1.0,
00-0032392,Austin Hooper,TE,31.8,36,1,1,0.028,0.124,0.059,1.0,Concussion
00-0037666,Jalen Tolbert,WR,27.5,36,0,0,0.0,0.16,0.051,0.9,
00-0036613,Jaylen Waddle,WR,27.8,36,0,0,0.0,0.16,0.051,0.9,
00-0039391,Kimani Vidal,RB,25.0,33,0,0,0.0,0.163,0.056,0.9,
00-0039875,Ray Davis,RB,26.8,36,0,0,0.0,0.159,0.051,0.9,
00-0034348,Courtland Sutton,WR,30.9,36,0,0,0.0,0.156,0.05,0.9,
00-0037248,James Cook,RB,26.9,36,0,0,0.0,0.159,0.051,0.9,
00-0038797,Emanuel Wilson,RB,27.3,36,0,0,0.0,0.159,0.051,0.9,
00-0039139,Jahmyr Gibbs,RB,24.5,36,0,0,0.0,0.163,0.052,0.9,
00-0039738,Blake Corum,RB,25.8,36,0,0,0.0,0.163,0.052,0.9,
00-0037263,Tyler Allgeier,RB,26.4,36,0,0,0.0,0.159,0.051,0.9,
00-0035125,Alec Ingold,RB,30.1,36,0,0,0.0,0.169,0.054,0.9,
00-0038618,Xavier Hutchinson,WR,26.3,36,0,0,0.0,0.16,0.051,0.9,
00-0038542,Bijan Robinson,RB,24.6,36,0,0,0.0,0.163,0.052,0.9,
00-0037741,Jahan Dotson,WR,26.4,36,0,0,0.0,0.16,0.051,0.9,
00-0034960,Jakobi Meyers,WR,29.8,36,0,0,0.0,0.171,0.055,0.9,
00-0029892,Kyle Juszczyk,RB,35.4,36,0,0,0.0,0.169,0.054,0.9,
00-0039890,Adonai Mitchell,WR,23.9,37,0,0,0.0,0.172,0.054,0.9,
00-0037840,Kyren Williams,RB,26.0,36,0,0,0.0,0.159,0.051,0.9,
