gsis_id,sleeper_id,full_name,position,team,age,status,report_status,games,raw_ppg,proj_ppg,adj_ppg,adj_note,replacement_ppg,remaining,absence_now,base_miss_rate,most_common_injury,exp_games,availability,exp_ppg,vorp,value,overall_rank,pos_rank
00-0041040,13301,Antonio Williams,WR,WAS,22.1,ACT,,1,16.4,11.59,0.0,,10.43,16,0.0,0.154,,13.5,0.85,9.8,15.6,15.6,89,34
00-0037664,8142,Alec Pierce,WR,IND,26.3,ACT,,32,11.78,11.52,0.0,,10.43,16,0.0,0.108,Concussion,14.3,0.89,10.27,15.4,15.4,90,35
00-0036893,7528,Najee Harris,RB,NYG,28.5,ACT,,18,11.51,10.59,0.0,,9.22,16,0.0,0.31,,11.0,0.69,7.31,15.1,15.1,91,36
00-0038606,9487,Parker Washington,WR,JAX,24.4,ACT,,30,11.68,11.43,0.0,,10.43,16,0.0,0.062,,15.0,0.94,10.72,14.9,14.9,92,36
00-0039918,11560,Caleb Williams,QB,CHI,24.8,ACT,,35,18.53,18.32,0.0,,17.36,16,0.0,0.028,,15.6,0.97,17.8,14.8,14.8,93,10
00-0036040,7002,Juwan Johnson,TE,NO,30.0,ACT,,33,10.18,9.96,0.0,,9.01,16,0.0,0.045,,15.3,0.96,9.51,14.5,14.5,94,12
00-0039910,11566,Jayden Daniels,QB,WAS,25.7,ACT,,24,18.92,18.48,0.0,,17.36,16,0.0,0.217,Elbow,12.5,0.78,14.47,13.9,13.9,95,11
00-0039363,11651,Isaac Guerendo,RB,SF,26.2,RES,,6,15.07,11.24,0.0,,9.22,16,8.8,0.108,Foot,6.4,0.4,4.52,13.0,13.0,96,37
00-0036259,7049,Jauan Jennings,WR,MIN,29.1,ACT,Out,31,11.8,11.52,0.0,,10.43,16,2.6,0.13,Ankle,11.7,0.73,8.42,12.7,12.7,97,37
00-0039165,9753,Zach Charbonnet,RB,SEA,25.6,RES,,33,11.6,11.13,0.0,,9.22,16,8.8,0.09,,6.6,0.41,4.56,12.5,12.5,98,38
00-0031503,2306,Jameis Winston,QB,NYG,32.7,ACT,,9,18.82,18.08,0.0,,17.36,16,0.0,0.028,,15.6,0.97,17.57,11.1,11.1,99,12
00-0035719,5872,Deebo Samuel Sr.,WR,SF,30.6,ACT,,31,11.37,11.19,0.0,,10.43,16,0.0,0.107,Heel,14.3,0.89,9.99,10.8,10.8,100,38
00-0033090,3214,Hunter Henry,TE,NE,31.7,ACT,,34,9.88,9.71,0.0,,9.01,16,0.0,0.04,,15.4,0.96,9.33,10.7,10.7,101,13
00-0041523,13296,Caleb Douglas,WR,MIA,23.0,ACT,,1,14.4,11.2,0.0,,10.43,16,0.0,0.154,,13.5,0.85,9.48,10.4,10.4,102,39
00-0040236,12534,Kyle Monangai,RB,CHI,24.2,ACT,,17,10.13,9.9,0.0,,9.22,16,0.0,0.077,,14.8,0.92,9.14,10.1,10.1,103,39
00-0037157,8122,Bam Knight,RB,ARI,25.4,ACT,,8,10.52,9.97,0.0,,9.22,16,0.0,0.16,,13.4,0.84,8.37,10.1,10.1,104,40
00-0041027,13287,Jeremiyah Love,RB,ARI,21.3,ACT,,1,13.0,9.95,0.0,,9.22,16,0.0,0.162,,13.4,0.84,8.34,9.8,9.8,105,41
00-0033885,4033,David Njoku,TE,LAC,30.1,ACT,,22,10.12,9.81,0.0,,9.01,16,0.0,0.228,Knee,12.4,0.77,7.57,9.8,9.8,106,14
00-0038933,10236,Dalton Kincaid,TE,BUF,26.9,ACT,,25,9.95,9.71,0.0,,9.01,16,0.0,0.134,Knee,13.9,0.87,8.41,9.6,9.6,107,15
00-0041037,13346,Denzel Boston,WR,CLE,22.7,ACT,,1,13.9,11.11,0.0,,10.43,16,0.0,0.154,,13.5,0.85,9.39,9.1,9.1,108,40
00-0033106,3163,Jared Goff,QB,DET,31.9,ACT,,35,18.03,17.9,0.0,,17.36,16,0.0,0.028,,15.6,0.97,17.4,8.4,8.4,109,13
00-0037112,8698,Jake Tonges,TE,SF,27.2,RES,,8,10.87,10.03,0.0,,9.01,16,8.5,0.077,,6.9,0.43,4.32,7.0,7.0,110,16
00-0033921,4037,Chris Godwin Jr.,WR,TB,30.5,ACT,,17,11.33,11.07,0.0,,10.43,16,0.0,0.39,Ankle,9.8,0.61,6.75,6.2,6.2,111,41
00-0041032,13330,Kenyon Sadiq,TE,NYJ,21.5,ACT,,1,11.4,9.48,0.0,,9.01,16,0.0,0.189,,13.0,0.81,7.69,6.0,6.0,112,17
