episode_id,gsis_id,full_name,position,team,season,start_week,end_week,games_missed,ir_games,starts_on_ir,injury,carried_over,parts,n_base,base_share,base_ppg,return_key,games_to_normal,share_ratio_first4,ppg_after_first4,r1,r2,r3,r4,r5,r6,r7,r8,returned,ppg_ratio_first4
471,00-0027925,James Develin,RB,NE,2019,3,17,14,13,false,Neck,true,1,8,0.395,5.283,,,,,,,,,,,,,false,
472,00-0027939,Cam Newton,QB,CAR,2014,15,15,1,0,false,Back,false,1,8,0.979,15.903,201416,0,1.022,20.475,1.022,1.022,1.022,1.022,1.022,1.022,1.022,1.022,true,1.288
473,00-0027939,Cam Newton,QB,CAR,2016,5,5,1,0,false,Concussion,false,1,8,0.963,26.475,201606,0,1.039,19.550,1.039,1.039,1.039,1.039,1.039,1.039,1.018,1.029,true,0.738
474,00-0027939,Cam Newton,QB,CAR,2018,16,17,2,0,false,right Shoulder,true,1,8,0.983,20.343,201901,0,1.018,19.240,1.018,1.018,1.018,1.018,1.018,1.018,0.631,1.018,true,0.946
475,00-0027939,Cam Newton,QB,CAR,2019,3,17,14,8,false,Foot,true,1,8,0.989,14.903,202001,0,1.011,22.485,1.011,1.011,1.011,1.011,0.627,1.011,1.011,1.011,true,1.509
476,00-0027942,A.J. Green,WR,CIN,2016,12,17,4,1,false,Hamstring,true,2,8,0.891,18.800,201701,0,1.024,17.125,1.010,1.088,1.032,0.965,0.965,0.987,1.066,0.426,true,0.911
477,00-0027942,A.J. Green,WR,CIN,2018,10,10,1,0,false,Toe,false,1,8,0.860,16.600,201813,6,0.666,6.575,0.291,0.767,0.721,0.884,0.826,0.488,0.919,1.012,true,0.396
478,00-0027942,A.J. Green,WR,CIN,2018,14,17,20,5,true,Toe,true,2,8,0.859,18.462,202001,5,0.801,6.475,0.769,0.722,0.885,0.827,0.489,0.920,1.013,0.990,true,0.351
479,00-0027942,A.J. Green,WR,ARI,2021,9,9,1,1,true,Unlabeled (IR),false,1,8,0.830,10.325,202110,3,0.837,8.200,0.831,0.831,0.819,0.867,0.904,1.036,0.976,1.072,true,0.794
480,00-0027942,A.J. Green,WR,ARI,2022,4,4,1,0,false,Knee,false,1,8,0.787,7.613,202205,0,0.603,2.567,0.914,0.876,0.597,0.025,0.559,0.978,0.673,0.762,true,0.337
482,00-0027944,Julio Jones,WR,ATL,2016,15,15,1,0,false,Toe,false,1,8,0.806,21.025,201616,1,0.946,14.750,0.769,0.980,1.005,1.029,1.054,0.248,0.980,1.091,true,0.702
483,00-0027944,Julio Jones,WR,ATL,2020,14,17,4,0,false,Hamstring,true,1,8,0.684,16.338,202101,0,0.984,10.325,1.141,1.097,0.731,0.965,0.629,1.082,0.658,0.497,true,0.632
484,00-0027944,Julio Jones,WR,TEN,2021,4,5,2,0,false,Hamstring,false,1,8,0.766,16.812,202106,,0.744,7.375,0.861,0.561,0.966,0.587,0.444,0.653,0.887,0.679,true,0.439
485,00-0027944,Julio Jones,WR,TEN,2021,8,8,1,0,false,Hamstring,false,1,8,0.713,12.463,202109,,0.712,4.125,1.039,0.632,0.477,0.702,0.954,0.730,0.393,0.800,true,0.331
486,00-0027944,Julio Jones,WR,TEN,2021,10,12,3,3,true,Hamstring,false,1,8,0.662,10.600,202114,,0.743,6.450,0.679,0.513,0.755,1.026,0.785,0.423,0.860,0.543,true,0.608
487,00-0027944,Julio Jones,WR,TEN,2021,17,17,1,1,true,Hamstring,false,1,8,0.581,7.737,202118,0,0.882,10.050,1.170,0.895,0.482,0.981,0.619,0.877,1.067,1.118,true,1.299
488,00-0027944,Julio Jones,WR,TB,2022,7,7,1,0,false,Knee,false,1,8,0.540,7.450,202208,2,0.954,9.425,1.056,0.667,0.944,1.148,1.204,1.333,0.500,0.519,true,1.265
493,00-0027948,Blaine Gabbert,QB,TB,2019,1,17,16,13,false,left Shoulder,true,1,8,0.455,4.100,202006,,0.363,3.830,0.308,0.044,0.132,0.967,0.110,0.352,0.242,0.264,true,0.934
495,00-0027950,Christian Ponder,QB,MIN,2013,14,14,1,0,false,Concussion,false,1,8,0.929,13.177,201404,,0.608,6.240,0.140,1.077,,,,,,,true,0.474
498,00-0027966,Mark Ingram,RB,NO,2014,3,5,3,0,false,Hand,false,1,8,0.222,6.063,201407,0,2.674,17.575,1.528,3.551,2.966,2.652,3.371,1.528,3.146,1.034,true,2.899
499,00-0027966,Mark Ingram,RB,NO,2015,1,13,12,12,true,Shoulder,false,1,8,0.557,13.738,201601,1,0.964,16.150,0.753,1.040,0.879,1.184,0.951,0.915,0.143,0.682,true,1.176
500,00-0027966,Mark Ingram,RB,BAL,2019,17,17,1,0,false,Calf,true,1,8,0.480,15.138,202001,,0.703,8.075,0.750,0.875,0.667,0.521,0.625,0.250,0.542,0.188,true,0.533
501,00-0027966,Mark Ingram,RB,BAL,2020,12,12,1,1,true,Not Injury Related,false,1,8,0.305,7.750,202013,3,0.746,7.433,0.656,0.066,0.754,1.508,1.016,1.148,0.689,1.443,true,0.959
502,00-0027966,Mark Ingram,RB,NO,2021,14,14,1,1,true,Knee,false,1,8,0.459,9.625,202115,0,0.899,3.225,1.068,1.003,0.719,0.807,0.719,1.046,0.480,0.719,true,0.335
503,00-0027966,Mark Ingram,RB,NO,2022,9,11,3,0,false,Knee,false,1,8,0.350,4.963,202212,0,1.029,5.450,0.857,1.200,,,,,,,true,1.098
504,00-0027966,Mark Ingram,RB,NO,2022,15,18,4,4,true,Knee,true,1,8,0.299,4.863,,,,,,,,,,,,,false,
505,00-0027973,Andy Dalton,QB,CIN,2015,15,17,3,0,false,right Thumb,true,1,8,0.975,19.332,201601,0,1.026,15.390,1.026,1.026,1.026,1.026,1.026,0.995,1.026,1.026,true,0.796
506,00-0027973,Andy Dalton,QB,CIN,2018,13,17,5,5,true,Unlabeled (IR),true,1,8,0.962,15.415,201901,0,1.039,14.775,1.039,1.039,1.039,1.039,1.039,1.039,1.039,1.039,true,0.958
507,00-0027973,Andy Dalton,QB,DAL,2020,8,9,2,1,false,Concussion,false,1,8,0.790,11.120,202011,0,1.266,16.130,1.266,1.266,1.266,1.266,1.266,1.266,1.266,1.177,true,1.451
508,00-0027973,Andy Dalton,QB,CHI,2021,3,3,1,0,false,Knee,false,1,8,0.991,15.795,202105,2,0.641,10.975,0.050,0.494,1.009,1.009,0.989,1.009,0.958,0.888,true,0.695
509,00-0027973,Andy Dalton,QB,CHI,2021,15,16,2,1,true,left Hand,false,1,8,0.728,12.840,202117,0,1.309,12.410,1.347,1.375,1.306,1.210,1.210,1.361,1.155,1.237,true,0.967
510,00-0027974,Colin Kaepernick,QB,SF,2015,1,9,9,9,true,right Hand,false,1,8,1.000,12.680,201601,1,0.760,18.140,0.040,1.000,1.000,1.000,1.000,1.000,1.000,0.780,true,1.431
512,00-0027981,Kyle Rudolph,TE,MIN,2014,4,9,6,0,false,Abdomen,false,1,8,0.833,10.162,201411,1,0.910,4.900,0.360,1.057,1.105,1.117,1.057,0.817,1.117,1.021,true,0.482
513,00-0027981,Kyle Rudolph,TE,MIN,2020,15,17,3,1,false,Foot,true,1,8,0.736,6.438,202101,0,0.842,3.900,1.046,0.964,0.557,0.801,0.815,0.611,0.774,0.475,true,0.606
516,00-0027994,Shane Vereen,RB,NYG,2016,4,13,9,9,true,Unlabeled (IR),false,1,8,0.378,8.787,201614,,0.728,7.150,0.106,0.583,1.430,0.795,0.715,0.742,0.874,0.583,true,0.814
517,00-0027994,Shane Vereen,RB,NYG,2016,16,17,2,2,true,Triceps,true,1,8,0.355,9.525,201701,,0.979,7.600,1.521,0.845,0.761,0.789,0.930,0.620,0.761,0.789,true,0.798
518,00-0027996,Torrey Smith,WR,SF,2016,15,17,3,2,false,Concussion,true,1,8,0.838,5.050,201701,1,0.910,5.850,0.848,1.027,0.907,0.860,0.752,0.669,0.752,0.549,true,1.158
519,00-0027996,Torrey Smith,WR,CAR,2018,8,11,4,0,false,Knee,false,1,8,0.681,5.275,201812,,0.176,2.900,0.323,0.191,0.044,0.147,0.411,,,,true,0.550
521,00-0028000,Daniel Thomas,RB,MIA,2013,13,13,1,0,false,Ankle,false,1,8,0.341,6.550,201314,5,1.231,7.150,1.934,0.821,1.905,0.264,0.586,0.879,0.996,0.791,true,1.092
522,00-0028002,Randall Cobb,WR,GB,2018,5,5,1,0,false,Hamstring,false,1,8,0.834,15.457,201808,1,0.810,9.050,0.552,0.912,0.960,0.816,0.828,0.984,0.852,0.900,true,0.585
523,00-0028002,Randall Cobb,WR,GB,2018,11,11,1,0,false,Hamstring,false,1,8,0.829,13.075,201813,3,0.902,7.625,0.965,0.821,0.833,0.989,0.857,0.905,0.893,0.977,true,0.583
524,00-0028002,Randall Cobb,WR,HOU,2020,12,17,6,6,true,Toe,true,1,8,0.650,10.887,202101,6,0.473,8.450,0.400,0.277,0.508,0.708,0.846,0.600,0.969,1.046,true,0.776
525,00-0028002,Randall Cobb,WR,GB,2021,14,18,5,5,true,Core,true,1,8,0.584,9.457,202201,,0.702,6.250,1.045,0.497,0.685,0.582,1.079,0.617,0.959,0.771,true,0.661
526,00-0028002,Randall Cobb,WR,GB,2022,7,10,4,4,true,Ankle,false,1,8,0.492,8.625,202211,0,0.975,7.350,1.137,0.914,1.015,0.832,0.975,0.934,0.650,0.832,true,0.852
528,00-0028007,Rob Housler,TE,CLE,2015,7,8,2,0,false,Hamstring,false,1,8,0.193,1.167,201515,,1.074,2.850,0.571,0.364,2.286,,,,,,true,2.443
530,00-0028009,DeMarco Murray,RB,TEN,2017,17,17,1,0,false,Knee,true,1,8,0.689,11.587,,,,,,,,,,,,,false,
531,00-0028011,Stevan Ridley,RB,NE,2013,5,5,1,0,false,Knee,false,1,3,0.360,3.967,201306,0,1.229,19.150,1.194,0.972,0.889,1.861,0.722,0.167,0.528,0.444,true,4.828
532,00-0028011,Stevan Ridley,RB,NE,2014,1,7,7,6,true,Knee,false,1,8,0.290,9.287,201510,,0.345,0.225,0.483,0.448,0.241,0.207,0.621,0.345,0.690,1.517,true,0.024
534,00-0028017,Leonard Hankerson,WR,ATL,2015,8,9,2,0,false,Hamstring,false,1,8,0.545,8.075,201511,,0.538,13.600,1.046,0.275,0.294,,,,,,true,1.684
535,00-0028017,Leonard Hankerson,WR,ATL,2015,12,12,1,0,false,Hamstring,false,1,8,0.537,9.014,201515,,0.288,,0.279,0.298,,,,,,,true,
536,00-0028020,Vincent Brown,WR,OAK,2014,7,9,3,0,false,Hamstring,false,1,8,0.642,3.786,201410,,0.405,3.750,0.591,0.311,0.498,0.218,0.420,0.794,,,true,0.991
537,00-0028020,Vincent Brown,WR,OAK,2014,16,17,2,0,false,Groin,true,1,8,0.358,3.714,201514,,1.427,3.200,1.427,,,,,,,,true,0.862
538,00-0028021,Jerrel Jernigan,WR,NYG,2014,1,2,2,2,true,Unlabeled (IR),false,1,8,0.266,6.871,,,,,,,,,,,,,false,
540,00-0028040,Jordan Cameron,TE,CLE,2013,16,16,1,0,false,Concussion,false,1,8,0.991,11.738,201317,2,0.678,7.050,0.595,0.313,0.858,0.948,0.938,0.958,0.303,0.787,true,0.601
541,00-0028040,Jordan Cameron,TE,CLE,2014,9,12,4,0,false,Concussion,false,1,8,0.808,10.163,201414,0,1.062,8.600,0.966,1.003,1.077,1.201,1.214,0.508,0.929,1.214,true,0.846
542,00-0028040,Jordan Cameron,TE,MIA,2016,4,17,13,9,false,Concussion,true,1,8,0.691,5.775,,,,,,,,,,,,,false,
544,00-0028042,Luke Stocker,TE,TB,2016,3,4,2,0,false,Ankle,false,1,8,0.545,3.180,201607,0,0.867,2.450,1.009,0.991,0.532,0.936,0.495,1.046,0.037,0.459,true,0.770
545,00-0028042,Luke Stocker,TE,TB,2016,14,14,1,0,false,Ankle,false,1,8,0.428,2.067,201615,1,0.836,0.367,0.585,0.959,1.263,0.538,0.257,0.515,0.187,0.327,true,0.177
547,00-0028043,Roy Helu,RB,WAS,2014,15,15,1,0,false,Toe,false,1,8,0.402,9.388,201417,,0.590,8.667,1.441,0.124,0.248,0.547,0.969,0.373,0.075,0.075,true,0.923
550,00-0028050,Greg Salas,WR,NYJ,2014,1,13,12,12,true,Wrist,false,1,7,0.360,5.175,201516,0,1.090,6.500,1.167,1.222,1.194,0.778,,,,,true,1.256
551,00-0028050,Greg Salas,WR,BUF,2016,4,8,5,4,false,Groin,false,1,8,0.311,3.133,,,,,,,,,,,,,false,
553,00-0028052,Cecil Shorts,WR,JAX,2014,5,5,1,0,false,Hamstring,false,1,8,0.958,12.263,201406,1,0.888,9.650,0.846,0.940,0.888,0.877,0.794,0.982,0.950,0.982,true,0.787
554,00-0028052,Cecil Shorts,WR,HOU,2015,5,5,1,0,false,Shoulder,false,1,8,0.875,9.098,201506,,0.789,10.560,0.891,0.811,0.697,0.754,0.709,0.914,0.320,0.034,true,1.161
555,00-0028052,Cecil Shorts,WR,HOU,2015,7,8,2,0,false,Hamstring,false,1,8,0.870,10.498,201510,,0.747,11.785,0.816,0.701,0.759,0.713,0.920,0.322,0.034,0.126,true,1.123
556,00-0028052,Cecil Shorts,WR,HOU,2015,16,17,2,0,false,Hamstring,true,1,8,0.715,11.355,201601,4,0.364,1.100,0.042,0.154,0.573,0.685,1.091,0.965,0.741,0.392,true,0.097
557,00-0028052,Cecil Shorts,WR,TB,2016,3,5,3,0,false,Hamstring,false,1,8,0.561,8.620,201607,1,1.056,2.933,0.731,0.873,1.390,1.229,0.944,0.499,0.089,,true,0.340
558,00-0028052,Cecil Shorts,WR,TB,2016,14,17,4,4,true,Unlabeled (IR),true,1,8,0.415,3.967,,,,,,,,,,,,,false,
560,00-0028053,Kendall Hunter,RB,NO,2015,15,16,2,2,true,Unlabeled (IR),false,1,8,0.200,2.488,,,,,,,,,,,,,false,
563,00-0028063,Taiwan Jones,RB,OAK,2015,5,5,1,0,false,Foot,false,1,5,0.096,2.640,201507,0,1.302,5.600,2.188,1.354,1.458,0.208,0.208,0.104,0.417,0.833,true,2.121
564,00-0028063,Taiwan Jones,RB,BUF,2017,10,17,8,8,true,Unlabeled (IR),true,1,8,0.034,1.600,201804,,2.074,1.475,0.593,0.593,6.519,0.593,0.296,0.296,0.296,0.296,true,0.922
565,00-0028063,Taiwan Jones,RB,BUF,2018,7,14,11,8,false,Neck,false,2,8,0.026,1.117,201917,,2.476,1.475,8.381,0.762,0.381,0.381,0.381,0.381,,,true,1.321
566,00-0028063,Taiwan Jones,RB,BUF,2020,9,10,2,0,false,Hamstring,false,1,8,0.050,1.575,202015,,0.200,0.000,0.200,0.200,0.200,,,,,,true,0.000
567,00-0028064,Bilal Powell,RB,NYJ,2015,7,8,2,0,false,Ankle,false,1,8,0.364,5.713,201511,0,1.326,15.850,1.677,1.237,1.512,0.880,1.402,1.704,0.660,0.632,true,2.775
568,00-0028064,Bilal Powell,RB,NYJ,2018,8,17,9,9,true,Unlabeled (IR),true,1,8,0.504,10.488,201903,,0.144,0.400,0.040,0.060,0.337,0.139,0.337,0.179,0.457,0.417,true,0.038
569,00-0028064,Bilal Powell,RB,NYJ,2019,15,15,1,0,false,Ankle,false,1,8,0.166,2.188,201916,,0.872,2.250,0.421,1.323,,,,,,,true,1.029
570,00-0028067,Julius Thomas,TE,JAX,2015,1,4,4,0,false,Hand,false,1,8,0.701,9.913,201505,3,0.913,7.650,0.756,1.041,0.770,1.084,0.984,1.041,0.998,1.027,true,0.772
571,00-0028067,Julius Thomas,TE,JAX,2016,12,17,5,4,false,Back,true,2,8,0.719,9.737,201702,7,1.012,4.400,1.336,0.821,1.043,0.849,1.127,0.737,0.765,1.016,true,0.452
572,00-0028067,Julius Thomas,TE,MIA,2017,16,17,2,2,true,Unlabeled (IR),true,1,8,0.669,8.938,,,,,,,,,,,,,false,
575,00-0028074,Anthony Sherman,RB,KC,2020,8,8,1,1,true,Unlabeled (IR),false,1,8,0.111,1.925,202011,,0.404,0.000,0.270,0.360,0.270,0.719,0.899,0.539,0.719,,true,0.000
576,00-0028083,Jacquizz Rodgers,RB,ATL,2013,17,17,1,0,false,Concussion,true,1,8,0.359,6.500,201401,0,0.899,5.600,1.087,0.864,0.780,0.864,0.725,0.836,0.641,0.697,true,0.862
577,00-0028083,Jacquizz Rodgers,RB,CHI,2015,1,1,6,6,true,Unlabeled (IR),false,2,8,0.316,5.213,201602,2,1.423,7.000,0.696,0.727,1.328,2.941,2.150,1.992,1.075,0.348,true,1.343
578,00-0028083,Jacquizz Rodgers,RB,TB,2016,9,11,3,0,false,Foot,false,1,8,0.354,6.125,201613,2,1.230,7.675,0.961,0.311,1.724,1.922,1.357,1.329,1.668,0.509,true,1.253
579,00-0028086,Denarius Moore,WR,OAK,2013,12,14,3,0,false,Shoulder,false,1,8,0.745,12.438,201315,2,0.836,6.100,0.591,0.671,0.899,1.181,0.980,0.846,0.510,0.389,true,0.490
580,00-0028086,Denarius Moore,WR,OAK,2014,15,17,3,0,false,Knee,true,1,8,0.520,3.750,201506,,0.072,0.000,0.115,0.058,0.077,0.038,0.019,,,,true,0.000
582,00-0028090,T.J. Yates,QB,HOU,2016,1,1,3,3,true,Unlabeled (IR),false,2,7,0.330,3.743,201714,0,2.629,8.505,1.909,3.030,2.545,3.030,,,,,true,2.272
584,00-0028091,Jeremy Kerley,WR,NYJ,2013,11,11,1,0,false,Elbow,false,1,7,0.796,10.500,201314,2,0.792,9.950,0.591,0.666,0.968,0.943,0.804,0.792,1.106,0.968,true,0.948
585,00-0028093,Niles Paul,TE,WAS,2016,10,17,8,8,true,Unlabeled (IR),true,1,8,0.244,1.720,201701,1,1.600,0.350,0.328,2.092,2.010,1.969,0.903,0.574,0.287,2.010,true,0.203
586,00-0028093,Niles Paul,TE,WAS,2017,9,9,1,0,false,Concussion,false,1,8,0.287,1.380,201711,0,1.339,3.725,1.704,1.565,0.974,1.113,1.287,1.913,1.113,0.939,true,2.699
587,00-0028093,Niles Paul,TE,JAX,2018,7,14,7,7,true,Unlabeled (IR),false,1,8,0.326,2.863,,,,,,,,,,,,,false,
588,00-0028097,Lee Smith,TE,OAK,2016,5,17,12,12,true,Unlabeled (IR),true,1,8,0.493,2.571,201701,0,0.701,1.800,0.893,0.934,0.487,0.487,0.426,0.447,0.426,0.589,true,0.700
590,00-0028112,Charles Clay,TE,BUF,2015,1,16,15,15,true,Back,false,1,8,0.766,11.175,201601,0,1.184,5.850,1.279,1.188,1.083,1.188,1.188,1.005,1.240,0.731,true,0.523
591,00-0028112,Charles Clay,TE,BUF,2017,7,9,3,0,false,Knee,false,1,8,0.878,15.075,201710,4,0.698,6.000,0.684,0.615,0.741,0.752,0.991,0.866,0.821,0.752,true,0.398
592,00-0028112,Charles Clay,TE,BUF,2018,10,10,1,0,false,Hamstring,false,1,8,0.681,4.237,201813,,0.822,1.167,0.910,0.807,0.881,0.690,0.235,0.367,0.484,0.396,true,0.275
593,00-0028114,Dwayne Harris,WR,DAL,2013,13,16,3,0,false,Hamstring,false,2,8,0.251,3.912,201401,,0.637,2.800,0.517,1.075,0.279,0.677,0.557,0.637,0.438,0.358,true,0.716
594,00-0028114,Dwayne Harris,WR,NYG,2017,6,17,11,11,true,Unlabeled (IR),true,1,8,0.090,1.038,201803,7,0.444,1.500,0.333,0.444,0.778,0.222,0.222,0.333,0.333,1.000,true,1.446
595,00-0028114,Dwayne Harris,WR,OAK,2019,3,17,14,12,false,Ankle,true,3,8,0.084,1.325,,,,,,,,,,,,,false,
597,00-0028118,Tyrod Taylor,QB,BUF,2015,7,7,1,0,false,Knee,false,1,8,0.544,10.800,201509,0,1.839,15.705,1.839,1.839,1.839,1.839,1.839,1.839,1.839,1.839,true,1.454
598,00-0028118,Tyrod Taylor,QB,LAC,2020,3,5,3,0,false,Ribs,false,1,8,0.118,1.570,202009,1,5.191,11.510,0.085,8.511,3.660,8.511,8.511,8.511,4.766,1.532,true,7.331
599,00-0028118,Tyrod Taylor,QB,HOU,2021,3,8,6,6,true,Thigh,false,1,8,0.311,6.447,202109,0,2.859,10.400,3.213,3.213,3.213,1.799,0.578,0.610,0.418,0.129,true,1.613
600,00-0028118,Tyrod Taylor,QB,NYG,2022,5,5,1,0,false,Concussion,false,1,8,0.750,11.345,202214,6,0.140,3.440,0.253,0.173,0.053,0.080,0.040,0.427,1.333,1.333,true,0.303
601,00-0028118,Tyrod Taylor,QB,NYG,2023,9,12,4,4,true,Ribs,false,1,8,0.346,7.870,202315,1,1.798,11.595,0.173,1.415,2.888,2.715,0.722,1.069,1.097,2.888,true,1.473
602,00-0028118,Tyrod Taylor,QB,NYJ,2025,8,8,1,0,false,Knee,false,1,8,0.561,11.432,202512,0,1.247,10.767,1.782,1.782,0.178,,,,,,true,0.942
603,00-0028118,Tyrod Taylor,QB,NYJ,2025,15,15,1,0,false,Groin,false,1,8,0.685,12.370,,,,,,,,,,,,,false,
606,00-0028121,Jordan Todman,RB,HOU,2017,6,17,2,0,false,Calf,true,2,8,0.043,0.886,,,,,,,,,,,,,false,
607,00-0028142,Virgil Green,TE,DEN,2016,3,4,2,0,false,Calf,false,1,8,0.349,2.013,201606,0,2.057,6.767,2.208,1.749,2.122,2.151,2.007,1.778,2.036,1.405,true,3.362
608,00-0028142,Virgil Green,TE,DEN,2016,16,16,1,0,false,Concussion,false,1,8,0.674,4.117,201617,1,0.839,7.500,0.712,0.965,0.891,0.787,0.980,0.638,0.653,0.623,true,1.822
609,00-0028142,Virgil Green,TE,LAC,2019,4,4,1,0,false,Groin,false,1,8,0.641,1.567,201905,,0.624,1.975,1.201,0.577,0.265,0.452,0.530,0.437,0.468,0.546,true,1.261
610,00-0028142,Virgil Green,TE,LAC,2020,8,17,10,10,true,Ankle,true,1,8,0.312,0.967,,,,,,,,,,,,,false,
612,00-0028156,Ryan Taylor,TE,GB,2013,7,8,2,0,false,Knee,false,1,3,0.207,1.550,201309,4,0.387,0.700,0.242,0.677,0.339,0.290,0.919,1.210,1.742,1.113,true,0.452
618,00-0028198,Matt Asiata,RB,MIN,2014,12,12,1,0,false,Concussion,false,1,8,0.509,13.637,201413,0,1.435,16.350,1.474,1.533,1.278,1.455,1.278,0.393,0.118,0.491,true,1.199
619,00-0028202,Shaun Draughn,RB,SF,2015,9,16,7,7,true,Knee,false,1,5,0.116,0.740,201601,0,2.608,3.925,2.241,2.931,2.500,2.759,1.034,0.690,2.845,1.207,true,5.304
620,00-0028237,Chris Hogan,WR,NE,2016,11,11,1,0,false,Back,false,1,8,0.798,8.537,201612,0,1.034,12.675,1.154,1.078,1.041,0.865,1.078,1.204,1.129,1.078,true,1.485
621,00-0028237,Chris Hogan,WR,NE,2017,10,13,4,0,false,Shoulder,false,1,8,0.918,13.025,201714,0,1.011,7.125,0.981,0.992,0.981,1.090,0.937,0.992,0.654,0.719,true,0.547
622,00-0028237,Chris Hogan,WR,CAR,2019,5,14,9,9,true,Knee,false,1,8,0.455,5.000,201915,1,1.440,2.575,0.176,1.626,1.956,2.000,2.000,1.758,1.934,1.429,true,0.515
623,00-0028237,Chris Hogan,WR,NYJ,2020,6,12,6,6,true,Ribs,false,1,8,0.666,3.963,202101,,0.398,3.525,0.345,0.540,0.390,0.315,0.210,,,,true,0.890
625,00-0028263,Andre Holmes,WR,BUF,2017,16,17,2,1,false,Neck,true,1,8,0.320,4.300,201801,1,1.312,2.775,0.531,1.812,1.438,1.469,1.594,1.656,2.125,1.719,true,0.645
626,00-0028263,Andre Holmes,WR,DEN,2018,17,17,1,1,true,Ankle,true,1,8,0.251,2.157,,,,,,,,,,,,,false,
627,00-0028267,Allen Reisner,TE,BAL,2016,1,2,2,2,true,Unlabeled (IR),false,1,4,0.802,2.250,,,,,,,,,,,,,false,
629,00-0028292,Nick Bellore,RB,DET,2018,13,13,1,0,false,Ankle,false,1,8,0.125,0.100,201814,,1.020,0.600,0.560,0.640,2.400,0.480,0.400,0.080,0.560,0.320,true,6.000
630,00-0028292,Nick Bellore,RB,SEA,2022,8,8,1,0,false,Concussion,false,1,8,0.034,0.280,202209,2,0.889,0.000,1.185,0.296,1.185,0.889,1.778,0.889,0.593,0.593,true,0.000
631,00-0028292,Nick Bellore,RB,WAS,2024,11,17,2,0,false,Knee,false,2,8,0.033,0.050,,,,,,,,,,,,,false,
633,00-0028352,Dane Sanzenbacher,WR,CIN,2014,1,17,16,16,true,Unlabeled (IR),true,1,8,0.122,2.080,,,,,,,,,,,,,false,
634,00-0028353,Andre Smith,TE,CLE,2013,15,17,3,0,false,Calf,true,1,4,0.040,0.000,,,,,,,,,,,,,false,
636,00-0028411,Dontrelle Inman,WR,SD,2015,14,14,1,0,false,Neck,false,1,8,0.781,7.325,201515,0,1.158,10.025,1.139,1.242,1.242,1.011,1.114,1.152,1.242,1.101,true,1.369
637,00-0028411,Dontrelle Inman,WR,IND,2018,14,14,1,0,false,Shoulder,false,1,8,0.665,8.500,201815,1,0.793,8.700,0.752,0.872,0.932,0.617,0.827,0.481,1.128,0.827,true,1.024
638,00-0028411,Dontrelle Inman,WR,LAC,2019,5,11,7,7,true,Unlabeled (IR),false,1,8,0.545,6.538,201915,3,0.679,3.250,1.009,0.239,0.532,0.936,1.248,1.284,1.468,1.046,true,0.497
639,00-0028411,Dontrelle Inman,WR,WAS,2020,10,10,1,0,false,Hamstring,false,1,8,0.573,6.025,202012,,0.192,2.500,0.279,0.245,0.052,,,,,,true,0.415
641,00-0028434,Doug Baldwin,WR,SEA,2018,2,3,2,0,false,Knee,false,1,8,0.833,12.600,201804,0,0.976,7.475,0.913,1.057,0.901,1.033,1.069,1.189,1.069,1.081,true,0.593
642,00-0028442,Ricardo Lockette,WR,SEA,2015,1,2,11,10,true,Neck,false,2,8,0.170,1.725,,,,,,,,,,,,,false,
646,00-0028497,Kamar Aiken,WR,IND,2017,10,10,1,0,false,Hamstring,false,1,8,0.673,3.387,201712,2,0.606,0.000,0.164,0.446,0.877,0.937,1.204,0.743,1.160,0.818,true,0.000
653,00-0028702,Chris Matthews,WR,BAL,2016,1,17,16,16,true,Unlabeled (IR),true,1,8,0.281,2.543,201702,,0.480,1.333,0.356,0.427,0.711,0.427,1.138,,,,true,0.524
656,00-0028825,Terrelle Pryor,WR,WAS,2017,11,17,7,6,false,Ankle,true,1,8,0.680,6.250,201801,1,0.669,5.950,0.588,1.000,1.029,0.059,0.309,0.912,1.206,0.618,true,0.952
657,00-0028838,Larry Donnell,TE,NYG,2015,1,13,12,12,true,Neck,false,1,8,0.760,8.062,201601,,0.605,6.333,0.724,0.711,0.803,0.184,0.645,0.711,0.026,0.461,true,0.786
658,00-0028838,Larry Donnell,TE,NYG,2016,3,3,1,1,true,Unlabeled (IR),false,1,8,0.695,8.338,201604,,0.428,3.067,0.201,0.705,0.777,0.029,0.504,,,,true,0.368
659,00-0028838,Larry Donnell,TE,NYG,2016,5,5,1,0,false,Concussion,false,1,8,0.649,7.275,201606,,0.539,2.300,0.755,0.832,0.031,0.539,,,,,true,0.316
660,00-0028841,Will Johnson,RB,NYG,2016,1,17,16,16,true,Unlabeled (IR),true,1,8,0.050,1.120,,,,,,,,,,,,,false,
662,00-0028903,Garrett Celek,TE,SF,2014,13,13,15,15,true,Ankle,false,2,8,0.226,1.450,201601,0,2.729,5.775,2.519,2.166,2.961,3.271,3.448,1.945,2.608,2.210,true,3.983
663,00-0028903,Garrett Celek,TE,SF,2018,17,9,9,8,false,Concussion,false,2,8,0.275,4.700,201910,1,0.782,0.000,0.436,1.164,1.127,0.400,0.327,,,,true,0.000
664,00-0028903,Garrett Celek,TE,SF,2019,15,17,3,3,true,Back,true,1,8,0.221,3.525,,,,,,,,,,,,,false,
665,00-0028905,Chris Owusu,WR,NYJ,2015,1,2,8,8,true,Knee,false,2,8,0.316,2.857,,,,,,,,,,,,,false,
