episode_id,gsis_id,full_name,position,team,season,start_week,end_week,games_missed,ir_games,starts_on_ir,injury,carried_over,parts,n_base,base_share,base_ppg,return_key,games_to_normal,share_ratio_first4,ppg_after_first4,r1,r2,r3,r4,r5,r6,r7,r8,returned,ppg_ratio_first4
48,00-0022924,Ben Roethlisberger,QB,PIT,2020,17,17,1,0,false,Not Injury Related,true,1,8,0.974,17.155,202101,0,1.027,12.080,1.027,1.027,1.027,1.027,1.027,1.027,1.027,1.027,true,0.704
49,00-0022924,Ben Roethlisberger,QB,PIT,2021,10,10,1,1,true,Pectoral,false,1,8,1.000,14.422,202111,0,1.000,18.900,1.000,1.000,1.000,1.000,1.000,0.860,1.000,1.000,true,1.310
51,00-0022943,Benjamin Watson,TE,NO,2013,11,11,1,0,false,Concussion,false,1,8,0.496,4.643,201312,4,0.776,3.325,0.806,0.705,0.866,0.725,1.169,1.270,0.746,0.987,true,0.716
52,00-0022943,Benjamin Watson,TE,BAL,2016,1,17,16,16,true,Unlabeled (IR),true,1,8,0.833,12.638,201701,,0.799,9.150,0.733,0.889,0.829,0.745,1.069,0.841,0.961,0.589,true,0.724
54,00-0022999,John Kuhn,RB,NO,2017,4,17,13,13,true,Biceps,true,1,8,0.234,2.729,,,,,,,,,,,,,false,
58,00-0023310,Lance Moore,WR,PIT,2014,1,2,2,0,false,Groin,false,1,8,0.433,7.075,201403,,0.486,5.133,0.023,0.416,0.439,1.064,0.786,0.624,0.462,0.647,true,0.726
59,00-0023310,Lance Moore,WR,DET,2015,13,13,1,0,false,Ankle,false,1,8,0.640,9.137,201515,1,0.880,1.800,0.766,0.969,0.906,,,,,,true,0.197
60,00-0023367,Nate Washington,WR,HOU,2015,5,6,2,0,false,Hamstring,false,1,8,0.902,9.963,201507,0,0.978,14.900,1.042,0.920,1.019,0.931,0.875,0.920,0.898,0.798,true,1.496
61,00-0023436,Alex Smith,QB,KC,2014,17,17,1,0,false,Spleen,true,1,8,0.986,14.445,201501,0,1.014,16.300,1.014,1.014,1.014,1.014,1.014,1.014,1.014,0.892,true,1.128
62,00-0023436,Alex Smith,QB,KC,2016,9,9,1,0,false,Head,false,1,8,0.998,15.172,201610,0,1.003,13.840,1.003,1.003,1.003,1.003,1.003,1.003,0.992,0.952,true,0.912
63,00-0023436,Alex Smith,QB,WAS,2018,12,17,22,22,true,Unlabeled (IR),true,2,8,1.000,14.213,202005,2,0.838,9.230,0.540,0.810,1.000,1.000,1.000,1.000,0.510,1.000,true,0.649
64,00-0023436,Alex Smith,QB,WAS,2020,15,15,1,0,false,Calf,false,1,8,0.879,9.780,202017,,1.138,10.480,1.138,,,,,,,,true,1.072
